movie,name
0,What the #$*! Do We Know!?
1,Lilo and Stitch
2,Something's Gotta Give
3,Dragonheart
4,Congo
5,Silkwood
6,Mostly Martha
7,Spartan
8,Duplex (Widescreen)
9,Rambo: First Blood Part II
10,The Game
11,Sweet November
12,Reservoir Dogs
13,Death to Smoochy
14,Airplane II: The Sequel
15,X2: X-Men United
16,Taking Lives
17,The Deer Hunter
18,Chappelle's Show: Season 1
19,North by Northwest
20,Stuart Little 2
21,Ghost Dog: The Way of the Samurai
22,Charlotte's Web
23,Parenthood
24,Sex and the City: Season 4
25,Taxi
26,The Devil's Own
27,Harold and Kumar Go to White Castle
28,Ace Ventura: When Nature Calls
29,Bridget Jones's Diary
30,Jack
31,Ed Wood
32,High Fidelity
33,Pay It Forward
34,Dogma
35,Wild Things
36,Chasing Amy
37,The Pacifier
38,The Last Temptation of Christ
39,Life or Something Like It
40,House of Sand and Fog
41,The Phantom of the Opera: Special Edition
42,Spun
43,The Replacement Killers
44,Hostage
45,Igby Goes Down
46,Elephant
47,Happiness
48,Mississippi Burning
49,Rabbit-Proof Fence
50,Kill Bill: Vol. 2
51,The Matrix: Revolutions
52,Princess Mononoke
53,Frida
54,Rush Hour 2
55,Monty Python's The Meaning of Life: Special Edition
56,Three Days of the Condor
57,Monsoon Wedding
58,The Hitchhiker's Guide to the Galaxy
59,First Knight
60,The Santa Clause
61,Jimmy Neutron: Boy Genius
62,Predator 2
63,American Beauty
64,Speed
65,An Ideal Husband
66,Firestarter
67,Stir Crazy
68,Robin Hood: Prince of Thieves
69,Saving Grace
70,Rob Roy
71,Bedazzled
72,The Hand that Rocks the Cradle
73,Major League
74,The Perfect Storm
75,Dolores Claiborne
76,Roger & Me
77,Curly Sue
78,Domestic Disturbance
79,Mean Girls
80,Fifteen Minutes
81,The Poseidon Adventure
82,Clerks
83,Boyz N the Hood
84,Jaws
85,The Lawnmower Man
86,Logan's Run
87,The Faculty
88,Mannequin
89,Mansfield Park
90,Back to the Future Part III
91,Creepshow
92,Tuck Everlasting
93,Seven Samurai
94,Ray
95,Dangerous Minds
96,Bride and Prejudice
97,Eat Drink Man Woman
98,Sense and Sensibility
99,Comedian
100,Fallen
101,Hercules
102,I Spy
103,A Streetcar Named Desire
104,The Mummy
105,The Door in the Floor
106,Children of the Corn
107,Yojimbo
108,The Simpsons: Season 1
109,Rising Sun
110,Disclosure
111,Uptown Girls
112,Annie: Special Anniversary Edition
113,Superman: The Movie
114,Coach Carter
115,Harlem Nights
116,Training Day
117,Secondhand Lions
118,Freddy vs. Jason
119,Fried Green Tomatoes
